price_date,open,high,low,close,adj_close,volume
2026-07-08,193.50999450683594,195.66000366210938,185.3000030517578,191.1199951171875,191.1199951171875,7980600
2026-07-09,188.30499267578125,198.75,187.0,198.39999389648438,198.39999389648438,6283500
2026-07-10,196.60000610351562,198.0,186.47999572753906,187.17999267578125,187.17999267578125,9269800
2026-07-13,186.86000061035156,189.25,181.0,187.91000366210938,187.91000366210938,6475300
2026-07-14,190.9949951171875,211.0,189.4600067138672,210.72999572753906,210.72999572753906,12139500
2026-07-15,212.3800048828125,217.5,205.10000610351562,206.77000427246094,206.77000427246094,12002800
2026-07-16,207.1699981689453,207.69000244140625,200.07000732421875,203.75999450683594,203.75999450683594,8026800
2026-07-17,200.39999389648438,209.5,199.52000427246094,203.0800018310547,203.0800018310547,9102600
2026-07-20,203.0800018310547,208.25,197.82000732421875,198.49000549316406,198.49000549316406,7379300
2026-07-21,199.8000030517578,200.0,189.67999267578125,191.14999389648438,191.14999389648438,9499990
