obs_date,value
2026-07-06,15.57
2026-07-07,16.13
2026-07-08,16.9
2026-07-09,15.84
2026-07-10,15.03
2026-07-13,17.16
2026-07-14,16.5
2026-07-15,15.67
2026-07-16,16.73
2026-07-17,18.77
2026-07-20,18.65
