obs_date,value
2025-11-01,1414.0
2025-12-01,1482.0
2026-01-01,1393.0
2026-02-01,1540.0
2026-03-01,1363.0
2026-04-01,1423.0
2026-05-01,1410.0
2026-06-01,1367.0
