price_date,open,high,low,close,adj_close,volume
2026-07-07,689.5800170898438,690.239990234375,684.989990234375,687.0800170898438,687.0800170898438,4847400
2026-07-08,683.0999755859375,685.8400268554688,679.72998046875,685.260009765625,685.260009765625,4839800
2026-07-09,686.9500122070312,691.1900024414062,685.2899780273438,690.6900024414062,690.6900024414062,6423900
2026-07-10,691.25,694.3300170898438,687.6300048828125,693.8599853515625,693.8599853515625,5326400
2026-07-13,691.5999755859375,692.9600219726562,687.5399780273438,688.5,688.5,6637600
2026-07-14,690.2100219726562,692.4000244140625,688.2000122070312,691.0999755859375,691.0999755859375,4610200
2026-07-15,693.27001953125,694.5,689.5800170898438,693.7999877929688,693.7999877929688,4132800
2026-07-16,691.97998046875,693.5499877929688,687.4299926757812,690.1400146484375,690.1400146484375,4764000
2026-07-17,682.1199951171875,686.8699951171875,680.9199829101562,683.1699829101562,683.1699829101562,5679300
2026-07-20,686.6699829101562,688.2000122070312,681.5700073242188,682.2100219726562,682.2100219726562,5360300
2026-07-21,685.9500122070312,688.4849853515625,684.0399780273438,687.8699951171875,687.8699951171875,4060370
