price_date,open,high,low,close,adj_close,volume
2026-07-08,116.30999755859375,116.31999969482422,114.44000244140625,115.30000305175781,115.30000305175781,15042700
2026-07-09,114.72000122070312,116.87999725341797,114.55000305175781,116.8499984741211,116.8499984741211,8521800
2026-07-10,117.58999633789062,117.88999938964844,116.4800033569336,117.23999786376953,117.23999786376953,5971500
2026-07-13,117.19999694824219,117.5199966430664,115.62000274658203,116.04000091552734,116.04000091552734,5984800
2026-07-14,116.01000213623047,116.4000015258789,115.45999908447266,115.9000015258789,115.9000015258789,6669300
2026-07-15,116.45999908447266,117.80999755859375,116.45999908447266,117.0,117.0,9073000
2026-07-16,117.12000274658203,118.22000122070312,116.86000061035156,117.33999633789062,117.33999633789062,6057000
2026-07-17,115.91000366210938,116.87000274658203,115.31999969482422,115.44000244140625,115.44000244140625,10275100
2026-07-20,116.22000122070312,116.22000122070312,114.37999725341797,114.61000061035156,114.61000061035156,7804500
2026-07-21,114.63999938964844,115.16000366210938,114.27999877929688,114.87000274658203,114.87000274658203,6553432
