price_date,open,high,low,close,adj_close,volume,rule
2012-06-25,53.040000915527344,53.040000915527344,53.040000915527344,53.040000915527344,53.040000915527344,19,return_jump_no_corp_action
2012-09-10,30.15999984741211,30.15999984741211,30.15999984741211,30.15999984741211,30.15999984741211,1,return_jump_no_corp_action
2012-11-08,53.040000915527344,53.040000915527344,53.040000915527344,53.040000915527344,53.040000915527344,1,return_jump_no_corp_action
2012-11-09,104.0,104.0,53.040000915527344,53.040000915527344,53.040000915527344,6,return_jump_no_corp_action
2012-12-18,53.040000915527344,53.040000915527344,53.040000915527344,53.040000915527344,53.040000915527344,1,return_jump_no_corp_action
2013-02-04,27.040000915527344,27.040000915527344,27.040000915527344,27.040000915527344,27.040000915527344,1,return_jump_no_corp_action
2013-03-04,52.0,52.0,52.0,52.0,52.0,2,return_jump_no_corp_action
2013-03-05,52.0,52.0,52.0,52.0,52.0,0,return_jump_no_corp_action
2013-03-06,52.0,52.0,52.0,52.0,52.0,0,return_jump_no_corp_action
2013-03-07,50.959999084472656,52.0,50.959999084472656,52.0,52.0,29,return_jump_no_corp_action
2013-03-08,52.0,52.0,52.0,52.0,52.0,0,return_jump_no_corp_action
2013-03-11,50.959999084472656,52.0,47.84000015258789,52.0,52.0,54,return_jump_no_corp_action
2013-03-12,52.0,52.0,52.0,52.0,52.0,0,return_jump_no_corp_action
2013-03-13,52.0,52.0,52.0,52.0,52.0,0,return_jump_no_corp_action
2013-03-14,41.599998474121094,50.959999084472656,41.599998474121094,50.959999084472656,50.959999084472656,889,return_jump_no_corp_action
2013-03-15,50.959999084472656,50.959999084472656,50.959999084472656,50.959999084472656,50.959999084472656,8,return_jump_no_corp_action
2013-03-18,41.599998474121094,41.599998474121094,41.599998474121094,41.599998474121094,41.599998474121094,9,return_jump_no_corp_action
2013-03-19,41.599998474121094,41.599998474121094,41.599998474121094,41.599998474121094,41.599998474121094,0,return_jump_no_corp_action
2013-03-20,31.200000762939453,31.200000762939453,31.200000762939453,31.200000762939453,31.200000762939453,666,return_jump_no_corp_action
2013-03-21,31.200000762939453,56.15999984741211,31.200000762939453,41.599998474121094,41.599998474121094,812,return_jump_no_corp_action
2013-03-22,38.47999954223633,46.79999923706055,38.47999954223633,41.599998474121094,41.599998474121094,460,return_jump_no_corp_action
2013-03-25,38.47999954223633,38.47999954223633,36.400001525878906,36.400001525878906,36.400001525878906,120,return_jump_no_corp_action
2013-03-26,39.52000045776367,41.599998474121094,38.47999954223633,40.560001373291016,40.560001373291016,377,return_jump_no_corp_action
2013-03-27,41.599998474121094,41.599998474121094,36.400001525878906,41.599998474121094,41.599998474121094,362,return_jump_no_corp_action
2013-03-28,40.560001373291016,41.599998474121094,39.52000045776367,41.599998474121094,41.599998474121094,853,return_jump_no_corp_action
2013-04-01,39.52000045776367,39.52000045776367,36.400001525878906,36.400001525878906,36.400001525878906,433,return_jump_no_corp_action
2013-04-02,41.599998474121094,41.599998474121094,37.439998626708984,40.560001373291016,40.560001373291016,157,return_jump_no_corp_action
2013-04-03,34.31999969482422,40.560001373291016,34.31999969482422,40.560001373291016,40.560001373291016,30,return_jump_no_corp_action
2013-04-04,34.31999969482422,41.599998474121094,31.200000762939453,41.599998474121094,41.599998474121094,199,return_jump_no_corp_action
2013-04-05,36.400001525878906,36.400001525878906,36.400001525878906,36.400001525878906,36.400001525878906,48,return_jump_no_corp_action
2013-04-08,36.400001525878906,36.400001525878906,36.400001525878906,36.400001525878906,36.400001525878906,29,return_jump_no_corp_action
2013-04-09,34.31999969482422,41.599998474121094,34.31999969482422,41.599998474121094,41.599998474121094,14,return_jump_no_corp_action
2013-04-10,41.599998474121094,41.599998474121094,41.599998474121094,41.599998474121094,41.599998474121094,0,return_jump_no_corp_action
2013-04-11,41.599998474121094,41.599998474121094,34.31999969482422,35.36000061035156,35.36000061035156,203,return_jump_no_corp_action
2013-04-12,38.47999954223633,39.52000045776367,33.279998779296875,39.52000045776367,39.52000045776367,97,return_jump_no_corp_action
2013-04-15,39.52000045776367,41.599998474121094,33.279998779296875,33.279998779296875,33.279998779296875,192,return_jump_no_corp_action
2013-04-16,41.599998474121094,41.599998474121094,39.52000045776367,40.560001373291016,40.560001373291016,656,return_jump_no_corp_action
2013-04-17,39.52000045776367,40.560001373291016,38.47999954223633,40.560001373291016,40.560001373291016,130,return_jump_no_corp_action
2013-04-18,35.36000061035156,35.36000061035156,35.36000061035156,35.36000061035156,35.36000061035156,38,return_jump_no_corp_action
2013-04-19,35.36000061035156,39.52000045776367,35.36000061035156,39.52000045776367,39.52000045776367,670,return_jump_no_corp_action
2013-04-22,39.52000045776367,39.52000045776367,39.52000045776367,39.52000045776367,39.52000045776367,0,return_jump_no_corp_action
2013-04-23,39.52000045776367,41.599998474121094,36.400001525878906,36.400001525878906,36.400001525878906,669,return_jump_no_corp_action
2013-04-24,41.599998474121094,41.599998474121094,34.31999969482422,38.47999954223633,38.47999954223633,1200,return_jump_no_corp_action
2013-04-25,39.52000045776367,39.52000045776367,36.400001525878906,39.52000045776367,39.52000045776367,256,return_jump_no_corp_action
2013-04-26,37.439998626708984,40.560001373291016,37.439998626708984,37.439998626708984,37.439998626708984,1297,return_jump_no_corp_action
2013-04-29,40.560001373291016,41.599998474121094,38.47999954223633,40.560001373291016,40.560001373291016,672,return_jump_no_corp_action
2013-04-30,42.63999938964844,44.720001220703125,37.439998626708984,41.599998474121094,41.599998474121094,4639,return_jump_no_corp_action
2013-05-01,41.599998474121094,46.79999923706055,40.560001373291016,41.599998474121094,41.599998474121094,10851,return_jump_no_corp_action
2013-05-02,42.63999938964844,50.959999084472656,42.63999938964844,48.880001068115234,48.880001068115234,17729,return_jump_no_corp_action
2013-05-03,52.0,52.0,45.7599983215332,45.7599983215332,45.7599983215332,6877,return_jump_no_corp_action
2013-05-06,45.7599983215332,48.880001068115234,43.68000030517578,47.84000015258789,47.84000015258789,32363,return_jump_no_corp_action
