price_date,open,high,low,close,adj_close,volume
2026-06-18,152.72999572753906,154.47000122070312,149.8000030517578,151.77999877929688,151.77999877929688,57940800
2026-06-22,150.16000366210938,153.8699951171875,146.32000732421875,150.1199951171875,150.1199951171875,20502800
2026-06-23,151.64999389648438,155.17999267578125,150.85000610351562,153.4199981689453,153.4199981689453,20720700
2026-06-24,151.80999755859375,157.05999755859375,150.39999389648438,152.75999450683594,152.75999450683594,13146800
2026-06-25,150.00999450683594,154.0,148.77999877929688,150.19000244140625,150.19000244140625,11324700
2026-06-26,151.49000549316406,158.4600067138672,151.49000549316406,158.3699951171875,158.3699951171875,21267900
2026-06-29,160.27000427246094,161.75999450683594,157.6999969482422,157.92999267578125,157.92999267578125,12664100
2026-06-30,155.08999633789062,157.69000244140625,154.07000732421875,156.66000366210938,156.66000366210938,13690500
2026-07-01,162.22000122070312,165.80999755859375,161.1999969482422,163.22999572753906,163.22999572753906,14164600
2026-07-02,163.0,167.2100067138672,162.0,166.11000061035156,166.11000061035156,10486300
