price_date,open,high,low,close,adj_close,volume
2026-07-06,397.5,420.0,390.5,419.7699890136719,419.7699890136719,54727900
2026-07-07,416.9599914550781,419.55999755859375,401.8800048828125,402.8999938964844,402.8999938964844,38149900
2026-07-08,399.3800048828125,399.6300048828125,390.510009765625,394.05999755859375,394.05999755859375,33844900
2026-07-09,393.989990234375,407.8599853515625,390.8599853515625,406.54998779296875,406.54998779296875,37835000
2026-07-10,410.489990234375,413.1600036621094,402.80999755859375,407.760009765625,407.760009765625,33410000
2026-07-13,404.6099853515625,405.57000732421875,391.3699951171875,394.760009765625,394.760009765625,32809200
2026-07-14,399.04998779296875,402.2200012207031,394.760009765625,396.17999267578125,396.17999267578125,23385000
2026-07-15,399.3999938964844,406.5899963378906,390.6600036621094,394.4599914550781,394.4599914550781,31549800
2026-07-16,392.3500061035156,395.30999755859375,385.32000732421875,391.05999755859375,391.05999755859375,29269100
2026-07-17,381.7799987792969,385.69000244140625,377.2200012207031,380.8399963378906,380.8399963378906,31317100
2026-07-20,386.0880126953125,386.489990234375,370.5199890136719,370.8800048828125,370.8800048828125,25390359
