price_date,open,high,low,close,adj_close,volume
2026-07-08,504.80999755859375,522.97998046875,498.1499938964844,517.4099731445312,517.4099731445312,23768500
2026-07-09,537.27001953125,559.5,535.2000122070312,546.719970703125,546.719970703125,26900800
2026-07-10,544.010009765625,560.25,540.0499877929688,557.8900146484375,557.8900146484375,20704500
2026-07-13,537.5,551.8699951171875,526.9199829101562,534.3900146484375,534.3900146484375,22957400
2026-07-14,567.219970703125,574.2000122070312,546.77001953125,548.1300048828125,548.1300048828125,21201400
2026-07-15,556.02001953125,558.8900146484375,509.57000732421875,529.1400146484375,529.1400146484375,27826200
2026-07-16,509.3299865722656,518.739990234375,491.79998779296875,500.94000244140625,500.94000244140625,27093700
2026-07-17,476.8800048828125,505.8800048828125,460.2099914550781,495.760009765625,495.760009765625,32115900
2026-07-20,517.0,522.4400024414062,502.3599853515625,503.57000732421875,503.57000732421875,23440700
2026-07-21,525.760009765625,548.139892578125,522.60009765625,544.4299926757812,544.4299926757812,27221951
