price_date,open,high,low,close,adj_close,volume
2026-07-06,423.489990234375,424.44000244140625,415.04998779296875,417.989990234375,417.989990234375,6379000
2026-07-07,423.95001220703125,428.6000061035156,422.1300048828125,428.19000244140625,428.19000244140625,5800500
2026-07-08,427.1499938964844,430.7699890136719,423.8299865722656,425.6000061035156,425.6000061035156,3859200
2026-07-09,427.1099853515625,434.29998779296875,423.5199890136719,431.67999267578125,431.67999267578125,5566000
2026-07-10,431.6700134277344,432.8599853515625,423.6499938964844,424.6199951171875,424.6199951171875,3798600
2026-07-13,426.4700012207031,431.54998779296875,425.5299987792969,429.0899963378906,429.0899963378906,3863800
2026-07-14,431.0,432.1499938964844,421.7900085449219,425.19000244140625,425.19000244140625,5135900
2026-07-15,419.489990234375,424.1099853515625,414.3699951171875,418.5199890136719,418.5199890136719,6764800
2026-07-16,449.3900146484375,461.6199951171875,420.3699951171875,423.3800048828125,423.3800048828125,13281900
2026-07-17,426.7200012207031,437.4700012207031,425.1000061035156,426.0899963378906,426.0899963378906,10711300
2026-07-20,427.25,431.0150146484375,417.3800048828125,423.4700012207031,423.4700012207031,2699876
