price_date,open,high,low,close,adj_close,volume,rule
2010-12-23,0.1933329999446869,0.1933329999446869,0.11999999731779099,0.12333299964666367,0.12333299964666367,1996800,return_jump_no_corp_action
2010-12-27,0.1333329975605011,0.1333329975605011,0.10666699707508087,0.1166670024394989,0.1166670024394989,362100,return_jump_no_corp_action
2011-03-07,0.14000000059604645,0.20000000298023224,0.1333329975605011,0.20000000298023224,0.20000000298023224,669000,return_jump_no_corp_action
2011-09-29,0.05999999865889549,0.10000000149011612,0.05999999865889549,0.10000000149011612,0.10000000149011612,2400,return_jump_no_corp_action
2011-10-12,0.05000000074505806,0.07999999821186066,0.04666699841618538,0.07999999821186066,0.07999999821186066,3000,return_jump_no_corp_action
2011-11-10,0.08333300054073334,0.10000000149011612,0.0733330026268959,0.10000000149011612,0.10000000149011612,45900,return_jump_no_corp_action
2011-12-21,0.06666699796915054,0.09666699916124344,0.06666699796915054,0.09666699916124344,0.09666699916124344,6000,return_jump_no_corp_action
2012-01-26,0.06666699796915054,0.10000000149011612,0.06666699796915054,0.10000000149011612,0.10000000149011612,85200,return_jump_no_corp_action
2012-01-27,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,return_jump_no_corp_action
2012-01-30,0.0733330026268959,0.09666699916124344,0.0733330026268959,0.09666699916124344,0.09666699916124344,22500,return_jump_no_corp_action
2012-01-31,0.07000000029802322,0.09666699916124344,0.07000000029802322,0.09666699916124344,0.09666699916124344,13800,return_jump_no_corp_action
2012-02-01,0.09666699916124344,0.09666699916124344,0.0733330026268959,0.09666699916124344,0.09666699916124344,81900,return_jump_no_corp_action
2012-02-02,0.08333300054073334,0.09666699916124344,0.08333300054073334,0.09666699916124344,0.09666699916124344,18000,return_jump_no_corp_action
2012-02-03,0.09666699916124344,0.09666699916124344,0.09666699916124344,0.09666699916124344,0.09666699916124344,15000,return_jump_no_corp_action
2012-02-06,0.07666700333356857,0.09666699916124344,0.07666700333356857,0.09666699916124344,0.09666699916124344,31500,return_jump_no_corp_action
2012-02-07,0.09666699916124344,0.10000000149011612,0.07666700333356857,0.09666699916124344,0.09666699916124344,30600,return_jump_no_corp_action
2012-03-20,0.10000000149011612,0.15000000596046448,0.10000000149011612,0.15000000596046448,0.15000000596046448,203400,return_jump_no_corp_action
2012-03-21,0.14000000059604645,0.15000000596046448,0.10000000149011612,0.15000000596046448,0.15000000596046448,61500,return_jump_no_corp_action
2013-08-21,0.14000000059604645,0.19666700065135956,0.14000000059604645,0.1933329999446869,0.1933329999446869,424800,return_jump_no_corp_action
