horizon,rho,n,ic_combined_OLD,ic_consensus_OLD,loss_OLD,boot_lo_OLD,boot_hi_OLD,boot_mean_OLD,boot_sd_OLD,ic_combined_NEW,ic_consensus_NEW,loss_NEW,boot_lo_NEW,boot_hi_NEW,boot_mean_NEW,boot_sd_NEW
1w,0.0,1259,0.014305563798625518,-0.0008677502299891685,-0.015173314028614687,-0.03560744530515124,0.0052072915120151345,-0.014746716643422713,0.01027288708201816,0.014305563798625518,-0.0008677502299891685,-0.015173314028614687,-0.035607543077458885,0.005207302633664653,-0.014746752758452315,0.010272912546825904
1w,0.03,1259,0.09743583499131787,0.0800460260956453,-0.01738980889567257,-0.037780113999102,0.002860847127421905,-0.017038942405204146,0.010343882614864498,0.09743583499131787,0.0800460260956453,-0.01738980889567257,-0.03778019297767074,0.002860853643197297,-0.01703898411436401,0.010343908299583706
1w,0.05,1259,0.1520300411343723,0.13376889213921406,-0.01826114899515824,-0.03858746978601673,0.001406023199696975,-0.01789775335503972,0.010258146150507753,0.1520300411343723,0.13376889213921406,-0.01826114899515824,-0.03858755084342543,0.0014060269866466102,-0.017897797141093106,0.010258171598363461
1w,0.07,1259,0.2054919350905895,0.18617777574933114,-0.019314159341258352,-0.038911090808605185,0.00038105682991911624,-0.018923039644125474,0.010255384952370545,0.2054919350905895,0.18617777574933114,-0.019314159341258352,-0.03891118392454014,0.0003810577021832147,-0.018923085923860695,0.010255410376416063
1w,0.1,1259,0.284147731608368,0.2625754060506198,-0.021572325557748184,-0.04015384259450511,-0.001633402947938304,-0.021217911849281287,0.010000130933579857,0.284147731608368,0.2625754060506198,-0.021572325557748184,-0.04015394709215278,-0.0016334071596608884,-0.02121796370841151,0.010000155698725711
1w,0.15,1259,0.3999865184465474,0.3784911375622958,-0.021495380884251625,-0.03978974624433205,-0.003118188455641143,-0.02122129169036612,0.009427277377152205,0.3999865184465474,0.3784911375622958,-0.021495380884251625,-0.03978984897799997,-0.003118195090478424,-0.02122134353288085,0.009427300681511465
1w,0.2,1259,0.49766274841731556,0.47626046361270397,-0.021402284804611593,-0.037914075661821325,-0.005316236384427777,-0.02129890379095631,0.008454342049560274,0.49766274841731556,0.47626046361270397,-0.021402284804611593,-0.037914200378788704,-0.005316249740672021,-0.021298955795752618,0.008454362874892696
2w,0.0,1259,0.011414786810759338,0.012920541636142252,0.0015057548253829146,-0.011665402395206628,0.01514980519395788,0.0015775707298998425,0.006978207168470503,0.011414786810759338,0.012920541636142252,0.0015057548253829146,-0.011665430166121265,0.01514983647590686,0.0015775745887539158,0.006978224257137236
2w,0.03,1259,0.08654257143254013,0.0883379090639755,0.0017953376314353703,-0.011494438769003083,0.015100354741643344,0.0018316051930078005,0.006976053275858952,0.08654257143254013,0.0883379090639755,0.0017953376314353703,-0.011494465677113831,0.015100389786388809,0.0018316096602871267,0.00697607034905166
2w,0.05,1259,0.13588764273714982,0.13796382602157495,0.0020761832844251316,-0.010788282425436103,0.015339844586912742,0.0020663880218381924,0.006893564354748466,0.13588764273714982,0.13796382602157495,0.0020761832844251316,-0.010788308186425939,0.015339880454861128,0.0020663930623596284,0.006893581229854308
