horizon,n,brier_A_original,brier_B_repaired,brier_C_equal,brier_DE_const50,delta_AB,ci_lo,ci_hi,delta_BC,ci_BC_lo,ci_BC_hi,delta_BE,ci_BE_lo,ci_BE_hi,ic_A,ic_B,ic_C,acc_A,acc_B,k_B,k_C,classification
1w,1259,0.30966334320007727,0.315859060924905,0.33358382345517223,0.25,-0.006195717724827743,-0.010948009351030073,-0.0005459646333622793,0.017724762530267224,0.008480405675846781,0.02805736772548771,-0.06585906092490501,-0.08132224736278294,-0.05027625623872922,0.031586474162990506,0.014147308281576287,-0.023156637391303733,0.5123113582208102,0.4988085782366958,0.04287221242799869,0.005308486365222355,FAIL
2w,1259,0.3059237752140788,0.30865212141323084,0.3185201916622152,0.25,-0.002728346199152021,-0.007945339113365533,0.0028415953342519965,0.00986807024898434,0.0019592296327735877,0.01786780985895379,-0.05865212141323084,-0.07328890734474554,-0.04443236911114127,0.011546433398510211,0.020109985000400624,0.0021422181178394205,0.5051628276409849,0.5162827640984908,0.06474908703482823,0.008536218486859343,INCONCLUSIVE
1m,419,0.2990889530509873,0.3009411369935497,0.30982167165690827,0.25,-0.0018521839425623687,-0.00977246685929831,0.006167923758298845,0.008880534663358586,-0.003919251385468723,0.02272604622224614,-0.050941136993549685,-0.07586869373533203,-0.027347670208737955,-0.030537343575906574,0.01071457163389755,-0.018396290187138686,0.522673031026253,0.522673031026253,0.09349502842071908,0.01663091819435021,INCONCLUSIVE
3m,178,0.30894441180207144,0.31658725402650223,0.3230127178161674,0.25,-0.00764284222443079,-0.026034312478497388,0.010288352205381617,0.006425463789665187,-0.003460464095150388,0.015938595233156064,-0.06658725402650223,-0.10379526289624334,-0.030236085910111194,-0.01667680041620423,-0.005999660603450521,-0.039446267022401955,0.5168539325842697,0.48314606741573035,0.15845780184015673,0.03797025719268979,INCONCLUSIVE
6m,92,0.30949339159947137,0.3290907496369472,0.3362574224828124,0.25,-0.01959735803747581,-0.045475284301382604,0.007326281979582299,0.007166672845865196,-0.0014541220699050474,0.01615278920163087,-0.07909074963694718,-0.13344285409960174,-0.02718428526461095,-0.05516826834304685,-0.08302887550963939,-0.08431376474540556,0.5,0.4782608695652174,0.22317684684443775,0.06195632155957946,INCONCLUSIVE
1y,45,0.2966002986582786,0.291141630488047,0.2956291173407271,0.25,0.0054586681702316064,-0.023670293308262334,0.037111058366024456,0.004487486852680134,-0.0037930411482160905,0.01203042434560657,-0.041141630488046976,-0.08381174157297251,0.004967731380915403,0.02334708892205474,0.057840104476389854,0.08211052459875184,0.5333333333333333,0.5111111111111111,0.3381409122195912,0.10563327809259089,INCONCLUSIVE
