horizon,rho,n,ic_combined,ic_consensus,loss,boot_lo,boot_hi,boot_mean,boot_sd,loss_original_v1_0,amended_by
1w,0.0,1259,0.0143055637986255,-0.0008677502299891,-0.0151733140286146,-0.0356074453051512,0.0052072915120151,-0.0147467166434227,0.0102728870820181,-0.0151733140286146,
1w,0.03,1259,0.0974358349913178,0.0800460260956453,-0.0173898088956725,-0.037780113999102,0.0028608471274219,-0.0170389424052041,0.0103438826148644,-0.0173898088956725,
1w,0.05,1259,0.1520300411343723,0.133768892139214,-0.0182611489951582,-0.0385874697860167,0.0014060231996969,-0.0178977533550397,0.0102581461505077,-0.0182611489951582,
1w,0.07,1259,0.2054919350905895,0.1861777757493311,-0.0193141593412583,-0.0389110908086051,0.0003810568299191,-0.0189230396441254,0.0102553849523705,-0.0193141593412583,
1w,0.1,1259,0.284147731608368,0.2625754060506198,-0.0215723255577481,-0.0401538425945051,-0.0016334029479383,-0.0212179118492812,0.0100001309335798,-0.0215723255577481,
1w,0.15,1259,0.3999865184465474,0.3784911375622958,-0.0214953808842516,-0.039789746244332,-0.0031181884556411,-0.0212212916903661,0.0094272773771522,-0.0214953808842516,
1w,0.2,1259,0.4976627484173155,0.4762604636127039,-0.0214022848046115,-0.0379140756618213,-0.0053162363844277,-0.0212989037909563,0.0084543420495602,-0.0214022848046115,
2w,0.0,1259,0.0114147868107593,0.0129205416361422,0.0015057548253829,-0.0116654023952066,0.0151498051939578,0.0015775707298998,0.0069782071684705,0.0015057548253829,
2w,0.03,1259,0.0865425714325401,0.0883379090639755,0.0017953376314353,-0.011494438769003,0.0151003547416433,0.0018316051930078,0.0069760532758589,0.0017953376314353,
2w,0.05,1259,0.1358876427371498,0.1379638260215749,0.0020761832844251,-0.0107882824254361,0.0153398445869127,0.0020663880218381,0.0068935643547484,0.0020761832844251,
2w,0.07,1259,0.1844200565828375,0.1854428567038948,0.0010228001210573,-0.0114191468185067,0.0142023807569525,0.0010366203188657,0.0067812101976998,0.0010228001210573,
2w,0.1,1259,0.2540928931948882,0.2524139827882294,-0.0016789104066588,-0.013772869708603,0.0109654044517147,-0.0016967053837399,0.0066681530613098,-0.0016789104066588,
2w,0.15,1259,0.35932664030127,0.3560458122669028,-0.0032808280343672,-0.0151978285679169,0.008877959680534,-0.0033581205704272,0.0063919019496082,-0.0032808280343672,
2w,0.2,1259,0.4505333541870476,0.4461582353139611,-0.0043751188730864,-0.0158458060252201,0.0071053106857667,-0.0045315667387105,0.0059869029963661,-0.0043751188730864,
1m,0.0,419,-0.020886399117777,0.0009153389005166,0.0218017380182937,-0.0064417607263983,0.0504712339538366,0.0210330106020094,0.0144182678855998,0.0218017380182937,
1m,0.03,419,0.0458702081739388,0.0688556387714785,0.0229854305975396,-0.0038421558343678,0.0512544596466214,0.0223337463315481,0.0141631704547158,0.0229854305975396,
1m,0.05,419,0.093756086897652,0.1122698806030046,0.0185137937053525,-0.0091675244740186,0.044680646887342,0.0177765016794535,0.0137259315735583,0.0185137937053525,
1m,0.07,419,0.1389600601634266,0.1569681417690462,0.0180080816056195,-0.0084644949322753,0.0443652823749545,0.0171848490286249,0.0135440311783444,0.0180080816056195,
1m,0.1,419,0.2061396711566288,0.2222436651402862,0.0161039939836573,-0.0104105811284557,0.0432940250931081,0.0156897939141627,0.0133671032942326,0.0161039939836573,
1m,0.15,419,0.3077860087406627,0.3205395784971215,0.0127535697564588,-0.0098504356465039,0.0365787842354856,0.0121055414626825,0.0118063635395667,0.0127535697564588,
1m,0.2,419,0.4014590609741973,0.4098421362584157,0.0083830752842183,-0.0129146594518407,0.0304675920110538,0.0078179739868221,0.011036271198935,0.0083830752842183,
3m,0.0,178,-0.0052355018304574,-0.0121509177820877,-0.0069154159516303,-0.0296436220182588,0.0151005554674874,-0.0062298854487945,0.0113727189404063,-0.0069154159516303,
3m,0.03,178,0.0499048332374041,0.0416063340954476,-0.0082984991419564,-0.0322929178693284,0.0159634397917289,-0.0076282995843303,0.0123221221232579,-0.0082984991419564,
3m,0.05,178,0.0824689949985583,0.077830346760234,-0.0046386482383243,-0.0262022982586982,0.0190942081795539,-0.0039032182218018,0.0118410258731166,-0.0046386482383243,
3m,0.07,178,0.1162949541933486,0.1123542310110657,-0.0039407231822829,-0.0247247398473714,0.0199129402327196,-0.0026117376950812,0.0118269338429934,-0.0039407231822829,
3m,0.1,178,0.1646815876518332,0.1660710543030377,0.0013894666512045,-0.0192722003470475,0.0282338346832579,0.0028638652493964,0.0124656042982832,0.0013894666512045,
3m,0.15,178,0.2484091883535883,0.2509008659164681,0.0024916775628797,-0.0205530949678113,0.0295033986609626,0.0031448417912416,0.0126640455458131,0.0024916775628797,
3m,0.2,178,0.3325346914500988,0.3397267240397944,0.0071920325896955,-0.0128422997907288,0.0305799161426022,0.0076176753776083,0.0114298993454026,0.0071920325896955,
6m,0.0,92,-0.1067305765762988,-0.115500208066828,-0.0087696314905291,-0.0651649892884114,0.0548753140267866,-0.0071109073254935,0.0315790964029532,-0.0087696314905291,
