horizon,rho,n,loss,boot_lo,boot_hi,boot_mean,boot_sd,ci_width,verdict
3m,0.07,178,-0.0039407231822829,-0.0247247398473714,0.0199129402327196,-0.0026117376950812,0.0118269338429934,0.044637680080091,PASS
3m,0.1,178,0.0013894666512045,-0.0192722003470475,0.0282338346832579,0.0028638652493964,0.0124656042982832,0.0475060350303054,INCONCLUSIVE
3m,0.15,178,0.0024916775628797,-0.0205530949678113,0.0295033986609626,0.0031448417912416,0.0126640455458131,0.0500564936287739,INCONCLUSIVE
3m,0.2,178,0.0071920325896955,-0.0128422997907288,0.0305799161426022,0.0076176753776083,0.0114298993454026,0.043422215933330996,INCONCLUSIVE
6m,0.0,92,-0.0087696314905291,-0.0651649892884114,0.0548753140267866,-0.0071109073254935,0.0315790964029532,0.120040303315198,INCONCLUSIVE
6m,0.03,92,-0.0276805943005101,-0.0772505895226793,0.0285864556201162,-0.0264120493811938,0.0271131040777614,0.1058370451427955,INCONCLUSIVE
6m,0.05,92,-0.0238120925357952,-0.0761574680578888,0.0328275511304964,-0.0204541251175192,0.0272455494776287,0.1089850191883852,INCONCLUSIVE
6m,0.07,92,-0.0206525592219841,-0.0741353667370497,0.0387524467117734,-0.0165409121033244,0.0284391822333342,0.1128878134488231,INCONCLUSIVE
6m,0.1,92,-0.0219009601898802,-0.0697655780404728,0.0307831018910963,-0.019024382349768,0.0254809564608129,0.1005486799315691,INCONCLUSIVE
6m,0.15,92,-0.0106961761940724,-0.0626311976943113,0.0449771126489219,-0.0086806867746559,0.0282204805034806,0.1076083103432332,INCONCLUSIVE
6m,0.2,92,0.0037760276189448,-0.0456999522216913,0.0573274201254565,0.0054482067721899,0.0255592572225826,0.1030273723471478,INCONCLUSIVE
1y,0.0,45,0.0399209486166007,-0.0396673254281949,0.1166139657444005,0.0393254281949934,0.0423056971413948,0.1562812911725954,INCONCLUSIVE
1y,0.03,45,0.0292490118577075,-0.0720816864295125,0.1188504611330698,0.0288418972332015,0.0499582081129888,0.1909321475625823,INCONCLUSIVE
1y,0.05,45,0.0466403162055335,-0.0407378129117259,0.1200329380764163,0.0466293807641633,0.0417753916512602,0.1607707509881422,INCONCLUSIVE
1y,0.07,45,0.0682476943346508,-0.0117292490118577,0.1330698287220026,0.066259025032938,0.0371441366785121,0.1447990777338603,INCONCLUSIVE
1y,0.1,45,0.0337285902503293,-0.061663372859025,0.1109519104084321,0.0318270092226613,0.0450400199766371,0.1726152832674571,INCONCLUSIVE
1y,0.15,45,0.0538866930171277,-0.0248188405797101,0.1242523056653491,0.0492220026350461,0.0400620941778433,0.1490711462450592,INCONCLUSIVE
1y,0.2,45,0.0855072463768115,0.0013175230566534,0.1657575757575757,0.0823998682476943,0.0446368757973402,0.1644400527009223,INCONCLUSIVE
