price_date,open,high,low,close,adj_close,volume,rule
2019-06-10,60.0,60.0,57.0,58.20000076293945,58.20000076293945,442,return_jump_no_corp_action
2019-06-11,59.400001525878906,63.0,59.400001525878906,63.0,63.0,75,return_jump_no_corp_action
2019-06-12,70.19999694824219,92.87999725341797,70.19999694824219,84.9000015258789,84.9000015258789,533,return_jump_no_corp_action
2019-06-13,85.80000305175781,85.80000305175781,73.80000305175781,84.0,84.0,175,return_jump_no_corp_action
2019-06-14,80.4000015258789,80.4000015258789,73.80000305175781,78.0,78.0,133,return_jump_no_corp_action
2019-06-17,82.19999694824219,82.31999969482422,82.19999694824219,82.31999969482422,82.31999969482422,50,return_jump_no_corp_action
2019-06-18,83.27999877929688,91.19999694824219,83.27999877929688,91.19999694824219,91.19999694824219,92,return_jump_no_corp_action
2019-06-19,91.55999755859375,92.04000091552734,91.19999694824219,91.91999816894531,91.91999816894531,183,return_jump_no_corp_action
2019-06-20,91.80000305175781,91.80000305175781,91.19999694824219,91.80000305175781,91.80000305175781,117,return_jump_no_corp_action
2019-06-21,90.5999984741211,98.4000015258789,90.5999984741211,98.4000015258789,98.4000015258789,108,return_jump_no_corp_action
2019-06-24,99.12000274658203,110.4000015258789,78.0,96.0,96.0,242,return_jump_no_corp_action
2019-06-25,99.23999786376953,99.5999984741211,99.23999786376953,99.5999984741211,99.5999984741211,25,return_jump_no_corp_action
2019-06-26,99.72000122070312,99.72000122070312,99.72000122070312,99.72000122070312,99.72000122070312,25,return_jump_no_corp_action
2019-06-27,96.72000122070312,96.72000122070312,93.72000122070312,93.72000122070312,93.72000122070312,50,return_jump_no_corp_action
2019-06-28,90.5999984741211,96.0,90.5999984741211,95.87999725341797,95.87999725341797,75,return_jump_no_corp_action
2019-07-01,94.19999694824219,94.19999694824219,94.19999694824219,94.19999694824219,94.19999694824219,25,return_jump_no_corp_action
2019-07-02,87.0,98.4000015258789,87.0,98.4000015258789,98.4000015258789,100,return_jump_no_corp_action
2019-07-03,93.0,98.4000015258789,93.0,98.4000015258789,98.4000015258789,33,return_jump_no_corp_action
2019-07-05,98.4000015258789,98.4000015258789,98.4000015258789,98.4000015258789,98.4000015258789,25,return_jump_no_corp_action
2019-07-08,90.0,90.0,90.0,90.0,90.0,25,return_jump_no_corp_action
2019-07-09,87.4800033569336,91.19999694824219,87.0,91.19999694824219,91.19999694824219,33,return_jump_no_corp_action
