price_date,open,high,low,close,adj_close,volume
2026-07-08,9.770000457763672,9.880000114440918,9.5600004196167,9.5600004196167,9.5600004196167,806800
2026-07-09,9.460000038146973,9.539999961853027,9.279999732971191,9.520000457763672,9.520000457763672,914500
2026-07-10,9.8100004196167,10.154999732971191,9.029999732971191,9.180000305175781,9.180000305175781,2460200
2026-07-13,9.390000343322754,10.470000267028809,9.37600040435791,9.829999923706055,9.829999923706055,2108100
2026-07-14,9.779999732971191,10.0,9.399999618530273,9.539999961853027,9.539999961853027,1396900
2026-07-15,9.600000381469727,10.449999809265137,9.600000381469727,10.270000457763672,10.270000457763672,1553300
2026-07-16,10.4399995803833,10.729999542236328,10.09000015258789,10.260000228881836,10.260000228881836,1296200
2026-07-17,9.970000267028809,10.239999771118164,9.600000381469727,9.720000267028809,9.720000267028809,1776100
2026-07-20,9.569999694824219,9.75,9.239999771118164,9.420000076293945,9.420000076293945,1564700
2026-07-21,9.300000190734863,9.59000015258789,9.210000038146973,9.420000076293945,9.420000076293945,1181100
2026-07-22,9.460000038146973,9.5,8.949999809265137,8.989999771118164,8.989999771118164,1316400
2026-07-23,8.890000343322754,8.979999542236328,8.571000099182129,8.619999885559082,8.619999885559082,1299200
2026-07-24,8.649999618530273,8.75,8.3100004196167,8.329999923706055,8.329999923706055,994900
