price_date,open,high,low,close,adj_close,volume
2026-07-02,185.49000549316406,187.3800048828125,178.72000122070312,180.58999633789062,180.58999633789062,14173100
2026-07-06,182.66000366210938,185.7100067138672,182.0399932861328,183.57000732421875,183.57000732421875,8923100
2026-07-07,179.83999633789062,180.72000122070312,176.36000061035156,179.17999267578125,179.17999267578125,12254800
2026-07-08,177.47999572753906,181.6300048828125,177.14999389648438,181.39999389648438,181.39999389648438,10528300
2026-07-09,184.75999450683594,186.39999389648438,183.55999755859375,185.35000610351562,185.35000610351562,7756600
2026-07-10,184.00999450683594,186.22999572753906,183.08999633789062,185.77999877929688,185.77999877929688,6162000
2026-07-13,183.10000610351562,183.89999389648438,180.5399932861328,181.27999877929688,181.27999877929688,8595100
2026-07-14,183.7100067138672,184.42999267578125,181.3300018310547,183.6199951171875,183.6199951171875,6399600
2026-07-15,185.11000061035156,185.2899932861328,178.22000122070312,181.5800018310547,181.5800018310547,9256800
2026-07-16,179.0,179.47999572753906,176.41000366210938,177.52000427246094,177.52000427246094,8661200
2026-07-17,172.85000610351562,174.11000061035156,171.35000610351562,172.81500244140625,172.81500244140625,2063743
